MARCA,MODELO,SISTEMA,VERS_SISTEMA
8849,TANK2,Android,13
Alldocube,iPlay_30,Android,10
Apple,iPad,iOS,17.5.2001
Apple,iPad,iOS,18.2
Apple,iPad,iOS,17.7
Apple,iPad,iOS,16.1
Apple,iPad,iOS,17.1.2002
Apple,iPad,iOS,17.6.2001
Apple,iPad,iOS,17.2
Apple,iPad,iOS,17.4
Apple,iPad,iOS,18
Apple,iPad,iOS,18.0.1
Apple,iPad,iOS,17.4.2001
Apple,iPad,iOS,16.3.2001
Apple,iPad,iOS,18.3.2001
Apple,iPad,iOS,16.4.2001
Apple,iPad,iOS,17.0.2
Apple,iPad,iOS,17.3.2001
Apple,iPad,iOS,18.3
Apple,iPad,iOS,16.6
Apple,iPad,iOS,18.1.2001
Apple,iPad,iOS,15.7
Apple,iPad (10th generation),iOS,18.4
Apple,iPad (10th generation),iOS,18.3.2002
Apple,iPad (10th generation),iOS,18.4.2001
Apple,iPad (10th generation),iOS,17.6.2001
Apple,iPad (10th generation),iOS,18.1.2001
Apple,iPad (5th generation),iOS,16.7.2007
Apple,iPad (6th generation),iOS,17.5.2001
Apple,iPad (7th generation),iOS,17.5.2001
Apple,iPad (7th generation),iOS,18.3.2001
Apple,iPad (7th generation),iOS,17.6.2001
Apple,iPad Air (3rd generation),iOS,18.3
Apple,iPad Air (3rd generation),iOS,18.1.2001
Apple,iPad Air (3rd generation),iOS,18
Apple,iPad Air (4th generation),iOS,18.3.2002
Apple,iPad Air (4th generation),iOS,17.2
Apple,iPad Air (4th generation),iOS,17.6.2001
Apple,iPad Air (4th generation),iOS,17.5.2001
Apple,iPad Air (5th generation),iOS,18.3.2001
Apple,iPad Air (5th generation),iOS,17.6.2001
Apple,iPad Air 2,iOS,15.8.2002
Apple,iPad Mini 4,iOS,15.6.2001
Apple,iPad Mini 5,iOS,18
Apple,iPad Mini 5,iOS,17.6.2001
Apple,iPad Pro 10.5-inch,iOS,17.4.2001
Apple,iPad Pro 11-inch (3rd generation),iOS,18.1.2001
Apple,iPad Pro 11-inch (3rd generation),iOS,18.3.2002
Apple,iPad Pro 11-inch (3rd generation),iOS,17.3.2001
Apple,iPad Pro 11-inch (3rd generation),iOS,17.6.2001
Apple,iPad Pro 11-inch (5th generation),iOS,18.4
Apple,iPad Pro 12.9-inch (3rd generation),iOS,17.5.2001
Apple,iPad Pro 12.9-inch (3rd generation),iOS,18.1
Apple,iPhone,iOS,18.4
Apple,iPhone,iOS,18.0.1
Apple,iPhone,iOS,17.4
Apple,iPhone,iOS,17.1.2002
Apple,iPhone,iOS,18.2
Apple,iPhone,iOS,17.3
Apple,iPhone,iOS,18.3.2002
Apple,iPhone,iOS,17.0.2
Apple,iPhone,iOS,16.0.2
Apple,iPhone,iOS,18.4.2001
Apple,iPhone,iOS,17.5.2001
Apple,iPhone,iOS,16.3.2001
Apple,iPhone,iOS,18.3
Apple,iPhone,iOS,16.4.2001
Apple,iPhone,iOS,16.7.2002
Apple,iPhone,iOS,17.5
Apple,iPhone,iOS,17.2.2001
Apple,iPhone,iOS,16.1
Apple,iPhone,iOS,18.1
Apple,iPhone,iOS,16.1.2002
Apple,iPhone,iOS,16.5.2001
Apple,iPhone,iOS,16
Apple,iPhone,iOS,16.3
Apple,iPhone,iOS,17.2
Apple,iPhone,iOS,17.4.2001
Apple,iPhone,iOS,17.7
Apple,iPhone,iOS,16.5
Apple,iPhone,iOS,17.6
Apple,iPhone,iOS,17.7.2001
Apple,iPhone,iOS,16.6
Apple,iPhone,iOS,16.2
Apple,iPhone,iOS,17.3.2001
Apple,iPhone,iOS,17.0.3
Apple,iPhone,iOS,16.6.2001
Apple,iPhone,iOS,18
Apple,iPhone,iOS,17.7.2002
Apple,iPhone,iOS,17.1
Apple,iPhone,iOS,17.1.2001
Apple,iPhone,iOS,16.0.3
Apple,iPhone,iOS,17
Apple,iPhone,iOS,17.6.2001
Apple,iPhone,iOS,16.1.2001
Apple,iPhone,iOS,18.3.2001
Apple,iPhone,iOS,18.2.2001
Apple,iPhone,iOS,18.1.2001
Apple,iPhone,iOS,17.0.1
Apple,iPhone,iOS,16.0.1
Apple,iPhone 11,iOS,16.1.2001
Apple,iPhone 11,iOS,16.4.2001
Apple,iPhone 11,iOS,17.7.2002
Apple,iPhone 11,iOS,16.4
Apple,iPhone 11,iOS,17.0.1
Apple,iPhone 11,iOS,15.2
Apple,iPhone 11,iOS,15.4
Apple,iPhone 11,iOS,18.1.2001
Apple,iPhone 11,iOS,18.4.2001
Apple,iPhone 11,iOS,17.1.2001
Apple,iPhone 11,iOS,18.2.2001
Apple,iPhone 11,iOS,16.7
Apple,iPhone 11,iOS,18.3
Apple,iPhone 11,iOS,17.2.2001
Apple,iPhone 11,iOS,16.7.2002
Apple,iPhone 11,iOS,17.4.2001
Apple,iPhone 11,iOS,17
Apple,iPhone 11,iOS,17.4
Apple,iPhone 11,iOS,18.4
Apple,iPhone 11,iOS,15.4.2001
Apple,iPhone 11,iOS,16.5.2001
