MARCA,MODELO,VERS_SISTEMA
8849,TANK2,13
Alldocube,iPlay_30,10
Apple,iPad,16.3.1
Apple,iPad,17.4
Apple,iPad,16.6
Apple,iPad,17.3.1
Apple,iPad,18.1.1
Apple,iPad,18
Apple,iPad,16.1
Apple,iPad,18.0.1
Apple,iPad,17.2
Apple,iPad,16.4.1
Apple,iPad,17.6.1
Apple,iPad,17.1.2
Apple,iPad,18.2
Apple,iPad,18.3.1
Apple,iPad,17.5.1
Apple,iPad,17.0.2
Apple,iPad,15.7
Apple,iPad,18.3
Apple,iPad (10th generation),18.4
Apple,iPad (10th generation),17.6.1
Apple,iPad (10th generation),18.3.2
Apple,iPad (5th generation),16.7.7
Apple,iPad (6th generation),17.7.3
Apple,iPad (6th generation),17.5.1
Apple,iPad (7th generation),17.6.1
Apple,iPad (9th generation),17.6.1
Apple,iPad Air (4th generation),17.2
Apple,iPad Air (4th generation),17.6.1
Apple,iPad Air (4th generation),18.3.2
Apple,iPad Mini 4,15.6.1
Apple,iPad Mini 5,18
Apple,iPad Mini 5,17.6.1
Apple,iPad Pro 10.5-inch,17.4.1
Apple,iPad Pro 11-inch (3rd generation),18.3.2
Apple,iPad Pro 11-inch (3rd generation),18.1.1
Apple,iPad Pro 11-inch (5th generation),18.4
Apple,iPad Pro 12.9-inch (3rd generation),17.5.1
Apple,iPad Pro 12.9-inch (3rd generation),17.3.1
Apple,iPhone,17.7
Apple,iPhone,17.5.1
Apple,iPhone,16.4.1
Apple,iPhone,18.3.2
Apple,iPhone,16.0.2
Apple,iPhone,16.0.3
Apple,iPhone,18.2
Apple,iPhone,18.2.1
Apple,iPhone,18.3.1
Apple,iPhone,17.4.1
Apple,iPhone,17.2.1
Apple,iPhone,16.3
Apple,iPhone,17
Apple,iPhone,18.3
Apple,iPhone,17.0.2
Apple,iPhone,17.2
Apple,iPhone,18.0.1
Apple,iPhone,16.1.1
Apple,iPhone,17.5
Apple,iPhone,16.7.2
Apple,iPhone,17.3
Apple,iPhone,18.1.1
Apple,iPhone,17.6
Apple,iPhone,16
Apple,iPhone,16.1
Apple,iPhone,17.3.1
Apple,iPhone,16.1.2
Apple,iPhone,17.1.1
Apple,iPhone,16.5
Apple,iPhone,17.7.2
Apple,iPhone,16.5.1
Apple,iPhone,16.0.1
Apple,iPhone,18.1
Apple,iPhone,16.3.1
Apple,iPhone,16.6.1
Apple,iPhone,17.0.1
